'1';'Gay Men\\\'s Stags    ';'1';'09:30:00';'10:30:00';'0';
'2';'People of Color';'1';'11:30:00';'13:00:00';'0';
'3';'The View From Here';'2';'12:00:00';'13:00:00';'1';
'4';'Design for Living ';'1';'07:30:00';'08:30:00';'2';
'5';'Came to Believe  ';'6';'07:30:00';'08:30:00';'3';
'6';'Sharing & Caring';'9';'17:30:00';'18:30:00';'4';
'7';'Weekend Action Plan ';'3';'17:45:00';'18:45:00';'5';
'8';'Refuge Recovery';'7';'09:00:00';'10:00:00';'6';
'9';'They Don’t Know Who We Are';'1';'19:00:00';'20:00:00';'6';'Young Peoples/Chips'
'10';'Design For Living';'1';'07:30:00';'08:30:00';'4';
'11';'Sex In2meUC ';'2';'12:00:00';'13:00:00';'4';
'12';'Thursday Step Study';'2';'19:00:00';'20:00:00';'4';
'13';'As Bill Sees It';'1';'20:30:00';'21:30:00';'4';
'14';'Afternoon Delight';'4';'14:15:00';'15:30:00';'0';
'15';'UnSpun Book Review';'2';'16:00:00';'17:00:00';'0';
'16';'Bill\\\'s Coffee';'2';'19:00:00';'20:00:00';'0';
'17';'Castro Call Out';'1';'20:30:00';'21:30:00';'0';
'18';'Sex & Love in Recovery';'1';'15:00:00';'16:00:00';'1';
'19';'Monday Night Women';'5';'17:45:00';'18:45:00';'0';
'20';'Castro Big Book';'1';'20:30:00';'21:30:00';'1';
'21';'Dopeless Hope Fiends';'2';'12:00:00';'13:00:00';'2';
'22';'Living Sober with HIV/Hep C';'2';'18:00:00';'19:00:00';'2';
'23';'Anorexic, Bulimic, Compulsive Exerciser';'3';'19:15:00';'20:15:00';'2';
'24';'Progress Not Perfection';'1';'20:30:00';'21:30:00';'2';
'25';'Pink Cloud @ Noon';'2';'12:00:00';'13:00:00';'3';
'26';'Just for Hump Day';'2';'18:00:00';'20:00:00';'0';
'27';'Castro Steps & Traditions';'1';'20:00:00';'21:00:00';'3';
'28';'Friday Morning PNP (Progress not Perfection)';'2';'08:00:00';'09:00:00';'5';
'29';'Other Side of the Tracks';'10';'09:00:00';'10:00:00';'5';
'30';'Castro Nooners';'1';'12:00:00';'13:00:00';'5';'chips'
'31';'Pipe Dreams';'2';'15:00:00';'16:00:00';'5';
'32';'LGBT';'11';'20:15:00';'21:15:00';'5';
'33';'Sober Kink Together';'2';'21:30:00';'22:45:00';'5';
'34';'Changed Attitudes! ';'4';'10:30:00';'11:30:00';'6';
'35';'Step it Up';'2';'13:00:00';'14:00:00';'6';
'36';'Sobriety and Miracles S&M';'1';'17:00:00';'18:00:00';'6';
'37';'Saturday Night Live SF';'1';'21:00:00';'22:00:00';'6';'Chips weekly, cake first Saturday'
